2023-09-20 16:43:45 status not-installed readline-common:all <none>
2023-09-20 16:43:45 startup packages configure
2023-09-20 16:43:51 startup archives unpack
2023-09-20 16:43:51 install gettext-base:amd64 <none> 0.21-12
2023-09-20 16:43:51 status half-installed gettext-base:amd64 0.21-12
2023-09-20 16:43:51 status unpacked gettext-base:amd64 0.21-12
2023-09-20 16:43:52 install libbrotli1:amd64 <none> 1.0.9-2+b6
2023-09-20 16:43:52 status triggers-pending libc-bin:amd64 2.36-9+deb12u1
2023-09-20 16:43:52 status half-installed libbrotli1:amd64 1.0.9-2+b6
2023-09-20 16:43:52 status unpacked libbrotli1:amd64 1.0.9-2+b6
2023-09-20 16:43:52 install libkrb5support0:amd64 <none> 1.20.1-2
2023-09-20 16:43:52 status half-installed libkrb5support0:amd64 1.20.1-2
2023-09-20 16:43:52 status unpacked libkrb5support0:amd64 1.20.1-2
2023-09-20 16:43:52 install libk5crypto3:amd64 <none> 1.20.1-2
2023-09-20 16:43:52 status half-installed libk5crypto3:amd64 1.20.1-2
2023-09-20 16:43:52 status unpacked libk5crypto3:amd64 1.20.1-2
2023-09-20 16:43:52 install libkeyutils1:amd64 <none> 1.6.3-2
2023-09-20 16:43:52 status half-installed libkeyutils1:amd64 1.6.3-2
2023-09-20 16:43:52 status unpacked libkeyutils1:amd64 1.6.3-2
2023-09-20 16:43:52 install libkrb5-3:amd64 <none> 1.20.1-2
2023-09-20 16:43:52 status half-installed libkrb5-3:amd64 1.20.1-2
2023-09-20 16:43:52 status unpacked libkrb5-3:amd64 1.20.1-2
2023-09-20 16:43:52 install libgssapi-krb5-2:amd64 <none> 1.20.1-2
2023-09-20 16:43:52 status half-installed libgssapi-krb5-2:amd64 1.20.1-2
2023-09-20 16:43:52 status unpacked libgssapi-krb5-2:amd64 1.20.1-2
2023-09-20 16:43:52 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2023-09-20 16:43:52 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-09-20 16:43:52 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-09-20 16:43:52 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2023-09-20 16:43:52 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2023-09-20 16:43:52 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2023-09-20 16:43:52 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2023-09-20 16:43:52 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-09-20 16:43:52 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-09-20 16:43:52 install libnghttp2-14:amd64 <none> 1.52.0-1
2023-09-20 16:43:52 status half-installed libnghttp2-14:amd64 1.52.0-1
2023-09-20 16:43:52 status unpacked libnghttp2-14:amd64 1.52.0-1
2023-09-20 16:43:52 install libpsl5:amd64 <none> 0.21.2-1
2023-09-20 16:43:52 status half-installed libpsl5:amd64 0.21.2-1
2023-09-20 16:43:52 status unpacked libpsl5:amd64 0.21.2-1
2023-09-20 16:43:52 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2023-09-20 16:43:52 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-09-20 16:43:52 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-09-20 16:43:52 install libssh2-1:amd64 <none> 1.10.0-3+b1
2023-09-20 16:43:52 status half-installed libssh2-1:amd64 1.10.0-3+b1
2023-09-20 16:43:52 status unpacked libssh2-1:amd64 1.10.0-3+b1
2023-09-20 16:43:52 install libcurl4:amd64 <none> 7.88.1-10+deb12u1
